Comment,Designator,Footprint,LCSC Part #
"10n","C1","C0603","C57112"
"100n","C2","C0603","C14663"
"10n","C3","C0603","C57112"
"100n","C4","C0603","C14663"
"1u","C5","C0603","C15849"
"NUP2105L","D1","SOT-23","C284104"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"1N4148WS","D9","SOD-323","C2128"
"1N4148WS","D10","SOD-323","C2128"
"LED-GREEN-0805","D11","LED-0805","C2297"
"LED-GREEN-0805","D12","LED-0805","C2297"
"LED-GREEN-0805","D13","LED-0805","C2297"
"LED-GREEN-0805","D14","LED-0805","C2297"
"Fuse-Pad-Pad","F10","PAD-1206-PAD","C182446"
"USB_B_Mini","J4","USB-MINI-B-VERTICAL","C13453"
"470R@100MHz","L1","L_0603_1608Metric","C97853"
"470R@100MHz","L2","L_0603_1608Metric","C97853"
"Module:power_12and5V/0.1","M1","power_12and5V",""
"Module:vr-discrete/0.4","M2","vr-discrete",""
"Module:knock/0.2","M3","knock",""
"Module:ign8/0.2","M4","ign8",""
"Module:wbo/0.5","M5","wbo",""
"Module:can/0.1","M6","can",""
"Module:ign8/0.2","M7","ign8",""
"Module:mega-mcu144/0.7","M9","mega-mcu144",""
"ISL9V3040D3ST","Q9","DPAK","C5350881"
"ISL9V3040D3ST","Q11","DPAK","C5350881"
"ISL9V3040D3ST","Q12","DPAK","C5350881"
"ISL9V3040D3ST","Q14","DPAK","C5350881"
"ISL9V3040D3ST","Q901","DPAK","C5350881"
"ISL9V3040D3ST","Q902","DPAK","C5350881"
"ISL9V3040D3ST","Q903","DPAK","C5350881"
"ISL9V3040D3ST","Q904","DPAK","C5350881"
"ISL9V3040D3ST","Q905","DPAK","C5350881"
"ISL9V3040D3ST","Q906","DPAK","C5350881"
"ISL9V3040D3ST","Q911","DPAK","C462128"
"ISL9V3040D3ST","Q912","DPAK","C462128"
"ISL9V3040D3ST","Q913","DPAK","C462128"
"ISL9V3040D3ST","Q914","DPAK","C462128"
"ISL9V3040D3ST","Q915","DPAK","C462128"
"ISL9V3040D3ST","Q916","DPAK","C462128"
"22","R9","R0603","C23345"
"22","R11","R0603","C23345"
"22","R12","R0603","C23345"
"5.1k","R13","R0603","C23186"
"5.1k","R14","R0603","C23186"
"1.6k","R15","R0603","C22847"
"750","R16","R0603","C23241"
"0","R17","R0603","C21189"
"22","R19","R0603","C23345"
"10k","R401","R0603","C17414"
"10k","R402","R0603","C17414"
"10k","R403","R0603","C17414"
"10k","R404","R0603","C17414"
"10k","R405","R0603","C17414"
"10k","R406","R0603","C17414"
"22","R901","R0603","C23345"
"22","R902","R0603","C23345"
"22","R903","R0603","C23345"
"22","R904","R0603","C23345"
"22","R905","R0603","C23345"
"22","R906","R0603","C23345"
"22","R911","R0603","C23345"
"22","R912","R0603","C23345"
"22","R913","R0603","C23345"
"22","R914","R0603","C23345"
"22","R915","R0603","C23345"
"22","R916","R0603","C23345"
"molex_48pin_MRE","U1","Molex_48_MRE",""
"MAX31855KASA","U2","SO8","C52028"
